Product Name,Revenue,demand,initial_inventory
AWC Logo Cap,9,93295,221850.0
All-Purpose Bike Stand,159,3447,9270.0
Bike Wash - Dissolver,8,38269,91080.0
"Classic Vest, L",64,6436,15430.0
"Classic Vest, M",64,6720,16120.0
"Classic Vest, S",64,6884,16270.0
Fender Set - Mountain,22,85867,204880.0
HL Mountain Tire,35,38191,90990.0
HL Road Tire,33,21578,51500.0
"Half-Finger Gloves, L",24,18171,43510.0
"Half-Finger Gloves, M",24,16570,39650.0
"Half-Finger Gloves, S",24,20383,48980.0
Hitch Rack - 4-Bike,120,6723,17000.0
Hydration Pack - 70 oz.,55,27527,65660.0
LL Mountain Tire,25,17590,42000.0
LL Road Tire,21,36671,87470.0
"Long-Sleeve Logo Jersey, L",50,19274,46080.0
"Long-Sleeve Logo Jersey, M",50,15760,37680.0
"Long-Sleeve Logo Jersey, S",50,15078,36210.0
"Long-Sleeve Logo Jersey, XL",50,16020,38270.0
ML Mountain Tire,30,28940,69230.0
ML Road Tire,25,28843,68850.0
Mountain Bottle Cage,10,51774,123520.0
Mountain Tire Tube,5,142095,339470.0
"Mountain-100 Black, 38",3375,171,760.0
"Mountain-100 Black, 42",3375,136,620.0
"Mountain-100 Black, 44",3375,171,720.0
"Mountain-100 Black, 48",3375,191,810.0
"Mountain-100 Silver, 38",3400,214,910.0
"Mountain-100 Silver, 42",3400,136,550.0
"Mountain-100 Silver, 44",3400,147,600.0
"Mountain-100 Silver, 48",3400,139,580.0
"Mountain-200 Black, 38",2295,2920,12230.0
"Mountain-200 Black, 42",2295,2270,9370.0
"Mountain-200 Black, 46",2295,2398,10060.0
"Mountain-200 Silver, 38",2320,2640,11170.0
"Mountain-200 Silver, 42",2320,2581,10670.0
"Mountain-200 Silver, 46",2320,2060,8660.0
"Mountain-400-W Silver, 38",769,835,3430.0
"Mountain-400-W Silver, 40",769,492,2130.0
"Mountain-400-W Silver, 42",769,685,2970.0
"Mountain-400-W Silver, 46",769,769,3210.0
"Mountain-500 Black, 40",540,350,1450.0
"Mountain-500 Black, 42",540,198,890.0
"Mountain-500 Black, 44",540,414,1740.0
"Mountain-500 Black, 48",540,258,1090.0
"Mountain-500 Black, 52",540,66,230.0
"Mountain-500 Silver, 40",565,366,1560.0
"Mountain-500 Silver, 42",565,322,1360.0
"Mountain-500 Silver, 44",565,171,700.0
"Mountain-500 Silver, 48",565,93,400.0
"Mountain-500 Silver, 52",565,178,700.0
Patch Kit/8 Patches,2,217726,520200.0
